                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 2.4208,                 1.6074,                  1.447,                0.27967,                0.55519,                0.30419,                0.11966,                 2.1228,                 1.5446,                 1.2907,             0.00092435,             0.00092435,             0.00092435
                     47,                 2.3771,                 1.6191,                 1.4403,                0.44461,                0.41883,                0.52186,                0.20608,                 2.1071,                 1.5041,                 1.3057,             0.00090785,             0.00090785,             0.00090785
                     48,                 2.4094,                 1.6068,                 1.4123,                0.52362,                0.48377,                 0.4743,                0.15643,                 2.2908,                 1.5805,                 1.3557,             0.00089134,             0.00089134,             0.00089134
                     49,                 2.3915,                 1.5813,                 1.3959,                0.32488,                0.69156,                0.38096,                0.13634,                 2.1634,                 1.5347,                 1.3189,             0.00087484,             0.00087484,             0.00087484
                     50,                 2.4635,                 1.5968,                 1.4643,                0.24673,                0.31169,                0.29382,                0.10721,                 2.1818,                 1.4902,                 1.3269,             0.00085834,             0.00085834,             0.00085834
                     51,                  2.418,                 1.6304,                 1.4332,                0.75709,                0.27922,                0.31306,                0.10579,                 2.1775,                 1.4908,                 1.3077,             0.00084184,             0.00084184,             0.00084184
                     52,                 2.3603,                 1.6133,                 1.4032,                0.40603,                0.49993,                0.42133,                0.15669,                 2.1235,                 1.5367,                 1.3114,             0.00082533,             0.00082533,             0.00082533
                     53,                 2.4338,                  1.644,                 1.4185,                0.61389,                 0.6748,                0.59465,                0.28857,                 2.1199,                 1.4545,                 1.3155,             0.00080883,             0.00080883,             0.00080883
                     54,                 2.3578,                 1.5479,                 1.4236,                0.25719,                0.32329,                0.33414,                0.14052,                 2.0856,                 1.7104,                 1.2857,             0.00079233,             0.00079233,             0.00079233
                     55,                 2.2988,                 1.5659,                 1.3724,                0.25223,                0.70959,                0.38746,                0.14707,                 2.1293,                 1.5424,                 1.3094,             0.00077582,             0.00077582,             0.00077582
                     56,                 2.3854,                 1.5404,                 1.4114,                0.66889,                0.47463,                0.56161,                0.22984,                 2.1183,                  1.515,                 1.2868,             0.00075932,             0.00075932,             0.00075932
                     57,                 2.3593,                 1.5454,                 1.4318,                0.54423,                0.51273,                 0.5606,                0.26469,                 2.1201,                 1.4531,                 1.2901,             0.00074282,             0.00074282,             0.00074282
                     58,                 2.3232,                 1.5105,                 1.3989,                0.72183,                0.43182,                0.48124,                0.12056,                 2.3388,                  1.523,                  1.378,             0.00072631,             0.00072631,             0.00072631
                     59,                 2.3223,                 1.5712,                 1.4103,                0.36468,                0.73467,                 0.4629,                0.21629,                 2.0852,                 1.4951,                 1.2841,             0.00070981,             0.00070981,             0.00070981
                     60,                 2.3387,                 1.5699,                 1.3895,                0.45082,                0.52273,                0.43392,                0.19861,                 2.0639,                  1.514,                  1.288,             0.00069331,             0.00069331,             0.00069331
                     61,                 2.2737,                 1.5159,                 1.4446,                0.24158,                0.69805,                0.47721,                0.19324,                 2.0913,                 1.4301,                 1.2882,              0.0006768,              0.0006768,              0.0006768
                     62,                 2.3102,                 1.5246,                 1.3815,                0.56306,                0.43182,                0.44626,                0.20091,                 2.1025,                 1.4979,                 1.2722,              0.0006603,              0.0006603,              0.0006603
                     63,                 2.3027,                 1.5394,                 1.4403,                0.43104,                 0.4513,                0.57113,                0.30644,                 2.0596,                 1.7164,                  1.264,              0.0006438,              0.0006438,              0.0006438
                     64,                  2.284,                 1.5067,                 1.3986,                0.48028,                0.46472,                  0.431,                 0.1598,                 2.1631,                 1.4758,                 1.3061,             0.00062729,             0.00062729,             0.00062729
                     65,                 2.3598,                 1.5067,                 1.4331,                0.29336,                0.60714,                0.37492,                0.15017,                 2.1132,                 1.6233,                  1.278,             0.00061079,             0.00061079,             0.00061079
